"Add a popup to your site","Agregar un popup a tu sitio"
"Title","Título"
"Popup title","Título de popup"
"Block","Bloque"
"Block to use as popup content","Bloque para usar como contenido de popup"
"Select Block...","Seleccionar Bloque"
"CSS Class","Clase CSS"
"CSS class useful for styling the popup","Clase CSS útil para estilar el popup"
"Show On Init","Mostrar En Inicialización"
"Show popup on page initialization","Mostrar popup en inicialización de página"
"Button Title","Título de Botón"
"Popup button title","Título de botón de popup"
